Class,Section,Days & Times,Room,Instructor,Meeting Dates,Status
CSE 681,"M400-SEC ONL2 Wntr","TBA Mo 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","G. Wagner G. Wagner","01/02/2025 - 01/12/2025 01/13/2025 - 03/24/2025",N/A
CSE 682,"M400-SEC ONL2 Wntr","TBA Th 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","H. Saadawi H. Saadawi","01/02/2025 - 01/08/2025 01/09/2025 - 03/20/2025",N/A
CSE 687,"M001-SEC Regular",TuTh 5:00PM - 6:20PM,FALK ROOM 104,N. Ghani,01/14/2025 - 04/24/2025,N/A
CSE 687,"M400-SEC ONL2 Sprng","TBA Mo 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","S. Roueche S. Roueche","03/26/2025 - 04/06/2025 04/07/2025 - 06/16/2025",N/A
CSE 788,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Sims Hall 331,Q. Qiu,01/14/2025 - 04/24/2025,N/A
CSE 791,"M001-SEC Regular",We 5:15PM - 8:00PM,SCITC3-212,M. Hoque,01/15/2025 - 04/23/2025,N/A
CHE 113,"U700-SEC Eight Wk 1","TBA Th 6:30PM - 8:00PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","Staff J. Spencer","01/13/2025 - 03/06/2025 01/16/2025 - 03/06/2025",N/A
CHE 116,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Life Science Building 001,J. French,01/14/2025 - 04/24/2025,N/A
CHE 116,"M004-RECRegular",Tu 3:30PM - 4:25PM,Newhouse 2 345,J. French,01/14/2025 - 04/22/2025,N/A
CHE 116,"M009-SEC Regular",TuTh 3:30PM - 4:50PM,HB CROUSE GIFFORD,J. French,01/14/2025 - 04/24/2025,N/A
CHE 116,"M011-RECRegular",Mo 12:45PM - 1:40PM,Hall of Languages 105,J. French,01/13/2025 - 04/28/2025,N/A
CHE 116,"M012-RECRegular",Mo 5:15PM - 6:10PM,Lyman Hall 115B,J. French,01/13/2025 - 04/28/2025,N/A
CHE 116,"M014-RECRegular",Tu 9:30AM - 10:25AM,Life Science Building 300,J. French,01/14/2025 - 04/22/2025,N/A
CHE 116,"M020-RECRegular",Mo 10:35AM - 11:30AM,Heroy Geology Building 013,J. French,01/13/2025 - 04/28/2025,N/A
CHE 116,"M025-SEC Regular",MoWe 2:15PM - 3:35PM,Watson Theater,P. Dent,01/13/2025 - 04/28/2025,N/A
CHE 116,"M027-RECRegular",We 11:40AM - 12:35PM,Heroy Geology Building 013,P. Dent,01/15/2025 - 04/23/2025,N/A
CHE 116,"M028-RECRegular",Mo 12:45PM - 1:40PM,Life Science Building 156,P. Dent,01/13/2025 - 04/28/2025,N/A
CHE 116,"M029-RECRegular",Fr 12:45PM - 1:40PM,Life Science Building 156,P. Dent,01/17/2025 - 04/25/2025,N/A
CHE 116,"M030-RECRegular",Tu 9:30AM - 10:25AM,Eggers Hall 113,P. Dent,01/14/2025 - 04/22/2025,N/A
CHE 116,"M033-RECRegular",Tu 12:30PM - 1:25PM,Heroy Geology Building 013,P. Dent,01/14/2025 - 04/22/2025,N/A
CHE 325,"M001-SEC Regular","MoWeFr 9:30AM - 10:25AM Th 5:00PM - 6:20PM Th 5:00PM - 6:20PM Th 5:00PM - 6:20PM Th 5:00PM - 6:20PM Th 5:00PM - 6:20PM","Life Science Building 001 Grant Auditorium Grant Auditorium Heroy Geology Building Aud Physics Building Stolk Grant Auditorium","M. Sponsler Staff Staff Staff Staff Staff","01/13/2025 - 04/28/2025 02/06/2025 - 02/06/2025 03/06/2025 - 03/06/2025 04/03/2025 - 04/03/2025 04/03/2025 - 04/03/2025 04/24/2025 - 04/24/2025",N/A
CHE 325,"M004-RECRegular",Mo 6:45PM - 8:05PM,Hall of Languages 105,M. Sponsler,01/13/2025 - 04/28/2025,N/A
