Class,Section,Days & Times,Room,Instructor,Meeting Dates,Status
CIS 735,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,SCITC3-212,V. Phoha,01/13/2025 - 04/28/2025,N/A
CIS 735,"M400-SEC ONL2 Sprng","TBA Mo 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","G. Wagner G. Wagner","03/26/2025 - 04/06/2025 04/07/2025 - 06/16/2025",N/A
PHY 102,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Physics Building Stolk,M. Mihovilovic Skanata,01/13/2025 - 04/28/2025,N/A
PHY 102,"M002-LAB Regular",Fr 10:35AM - 12:25PM,Physics Building 110,A. Goonawardhana,01/17/2025 - 04/25/2025,N/A
PHY 102,"M004-LAB Regular",We 6:45PM - 8:45PM,Physics Building 110,J. Jones,01/15/2025 - 04/23/2025,N/A
PHY 102,"M005-LAB Regular",We 3:45PM - 5:45PM,Physics Building 110,J. Jones,01/15/2025 - 04/23/2025,N/A
PHY 102,"M008-LAB Regular",Fr 8:25AM - 10:25AM,Physics Building 110,A. Goonawardhana,01/17/2025 - 04/25/2025,N/A
PHY 211,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Physics Building Stolk,W. Freeman,01/14/2025 - 04/24/2025,N/A
PHY 211,"M002-SEC Regular",TuTh 11:00AM - 12:20PM,Physics Building Stolk,W. Freeman,01/14/2025 - 04/24/2025,N/A
PHY 211,"M009-RECRegular",TuTh 5:00PM - 5:55PM,Heroy Geology Building 114,J. Tulu,01/14/2025 - 04/24/2025,N/A
PHY 211,"M010-RECRegular",TuTh 6:30PM - 7:25PM,Heroy Geology Building 114,G. Gehlot,01/14/2025 - 04/24/2025,N/A
PHY 211,"M012-RECRegular",WeFr 9:30AM - 10:25AM,Physics Building 106,S. Pokhrel,01/15/2025 - 04/25/2025,N/A
PHY 211,"M020-RECRegular",WeFr 11:40AM - 12:35PM,Heroy Geology Building 113,G. Gehlot,01/15/2025 - 04/25/2025,N/A
PHY 211,"M023-RECRegular",WeFr 8:25AM - 9:20AM,Physics Building 104N,J. Yousefian,01/15/2025 - 04/25/2025,N/A
PHY 212,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Physics Building Stolk,J. Hansen,01/14/2025 - 04/24/2025,N/A
PHY 212,"M010-RECRegular",WeFr 8:25PM - 9:20PM,Physics Building 204,D. Van Allen,01/15/2025 - 04/25/2025,N/A
PHY 216,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Physics Building 104N,N. Pashine,01/14/2025 - 04/24/2025,N/A
PHY 216,"M003-RECRegular",MoWe 6:45PM - 7:45PM,Physics Building 208,Staff,01/13/2025 - 04/28/2025,N/A
PHY 221,"M001-SEC Regular",TBA,TBA,T. Skwarnicki,01/13/2025 - 04/28/2025,N/A
PHY 221,"M012-LAB Regular",We 3:45PM - 5:45PM,Life Science Building 306,A. Zaratsyan,01/15/2025 - 04/23/2025,N/A
PHY 221,"M015-LAB Regular",Th 7:00PM - 9:00PM,Life Science Building 306,A. Samlodia,01/16/2025 - 04/24/2025,N/A
PHY 221,"M020-LAB Regular",Tu 11:00AM - 1:00PM,Life Science Building 306,V. Jadhav Yashavant,01/14/2025 - 04/22/2025,N/A
PHY 222,"M001-SEC Regular",TBA,TBA,S. Ballmer,01/13/2025 - 04/28/2025,N/A
PHY 222,"M006-LAB Regular",We 10:35AM - 12:35PM,Physics Building 108,L. Roy,01/15/2025 - 04/23/2025,N/A
PHY 226,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Physics Building 377,D. Whittington,01/13/2025 - 04/28/2025,N/A
PHY 250,"M001-SEC Regular",Fr 11:40AM - 12:35PM,Physics Building 204,D. Whittington,01/16/2025 - 04/25/2025,N/A
PHY 302,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Physics Building 208,J. Paulsen,01/14/2025 - 04/24/2025,N/A
PHY 314,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Physics Building 208,J. Hubisz,01/14/2025 - 04/24/2025,N/A
PHY 317,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Physics Building 208,G. Mansell,01/13/2025 - 04/28/2025,N/A
PHY 344,"M002-SEC Regular",MoWe 3:45PM - 6:35PM,Physics Building 377,M. Soderberg,01/13/2025 - 04/28/2025,N/A
PHY 361,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Physics Building 104N,R. Silva Coutinho,01/14/2025 - 04/24/2025,N/A
PHY 366,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Physics Building 377,S. Blusk,01/13/2025 - 04/28/2025,N/A
PHY 399,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
PHY 400,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Physics Building 106,E. Coughlin,01/14/2025 - 04/24/2025,N/A
PHY 408,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Physics Building 204,M. Rudolph,01/14/2025 - 04/24/2025,N/A
PHY 523,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Physics Building 106,J. Laiho,01/14/2025 - 04/24/2025,N/A
PHY 531,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Physics Building 208,L. Movileanu,01/14/2025 - 04/24/2025,N/A
PHY 641,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Physics Building 204,P. Souder,01/14/2025 - 04/24/2025,N/A
PHY 657,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Physics Building 204,M. Artuso,01/13/2025 - 04/28/2025,N/A
PHY 731,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Physics Building 204,M. Manning,01/14/2025 - 04/24/2025,N/A
PHY 775,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Physics Building 204,G. Watson,01/13/2025 - 04/28/2025,N/A
PHY 880,"M002-SEC Regular",TuTh 11:00AM - 12:20PM,Physics Building 106,E. Coughlin,01/14/2025 - 04/24/2025,N/A
PHY 999,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
FYS 101,"M007-SEC Regular","Tu 3:30PM - 4:50PM TBA TBA TBA","Huntington Hall 101 Home College Experience Home College Experience Home College Experience","H. McElwee H. McElwee H. McElwee H. McElwee","01/14/2025 - 04/22/2025 02/10/2025 - 02/14/2025 02/24/2025 - 02/28/2025 04/21/2025 - 04/25/2025",N/A
FYS 101,"M011-SEC Regular","Fr 12:45PM - 1:45PM TBA TBA TBA","FALK ROOM 101 Home College Experience Home College Experience Home College Experience","A. LaClair A. LaClair A. LaClair A. LaClair","01/17/2025 - 04/25/2025 02/10/2025 - 02/14/2025 02/24/2025 - 02/28/2025 04/21/2025 - 04/25/2025",N/A
FYS 101,"M014-SEC Regular","Mo 5:15PM - 6:35PM TBA TBA TBA","Hall of Languages 215 Home College Experience Home College Experience Home College Experience","K. Shaw K. Shaw K. Shaw K. Shaw","01/13/2025 - 04/28/2025 02/10/2025 - 02/14/2025 02/24/2025 - 02/28/2025 04/21/2025 - 04/25/2025",N/A
FYS 101,"M016-SEC Regular","We 5:15PM - 6:35PM TBA TBA TBA","FALK ROOM 201 Home College Experience Home College Experience Home College Experience","A. Shanes A. Shanes A. Shanes A. Shanes","01/15/2025 - 04/23/2025 02/10/2025 - 02/14/2025 02/24/2025 - 02/28/2025 04/21/2025 - 04/25/2025",N/A
FYS 101,"M019-SEC Regular","Tu 3:30PM - 4:50PM TBA TBA TBA","Maxwell Hall 111 Home College Experience Home College Experience Home College Experience","N. Henry N. Henry N. Henry N. Henry","01/14/2025 - 04/22/2025 02/10/2025 - 02/14/2025 02/24/2025 - 02/28/2025 04/21/2025 - 04/25/2025",N/A
FYS 101,"U701-SEC Eight Wk 1","Mo 8:00PM - 9:30PM TBA","ONLINE SYNCHRONOUS ONLINE ASYNCHRONOUS","T. Manion T. Manion","01/13/2025 - 03/03/2025 01/13/2025 - 03/06/2025",N/A
FYS 101,"U702-SEC Eight Wk 2","Mo 8:00PM - 9:30PM TBA","ONLINE SYNCHRONOUS ONLINE ASYNCHRONOUS","K. Gillette K. Gillette","03/10/2025 - 04/28/2025 03/10/2025 - 05/01/2025",N/A
FYS 101,"U703-SEC Eight Wk 2","TBA Tu 8:00PM - 9:30PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","H. Berl H. Berl","03/10/2025 - 05/01/2025 03/11/2025 - 04/29/2025",N/A
CRS 183,"M001-SEC Regular",MoWe 11:40AM - 12:35PM,Shemin Auditorium Aud,E. Rand,01/13/2025 - 04/28/2025,N/A
CRS 183,"M008-RECRegular",Fr 8:25AM - 9:20AM,Sims Hall 135,K. Jones,01/17/2025 - 04/25/2025,N/A
CRS 225,"M001-SEC Regular",Mo 9:30AM - 10:25AM,Hall of Languages 107,A. Gratch,01/13/2025 - 04/28/2025,N/A
CRS 225,"M004-RECRegular",TuTh 8:00AM - 8:55AM,Sims Hall 131,C. Onwukwe,01/14/2025 - 04/24/2025,N/A
CRS 225,"M005-RECRegular",TuTh 8:00AM - 8:55AM,Sims Hall 135,D. Ferreira Leite,01/14/2025 - 04/24/2025,N/A
CRS 225,"M006-RECRegular",MoWe 10:35AM - 11:30AM,Sims Hall 241,M. Hanrahan,01/13/2025 - 04/28/2025,N/A
CRS 225,"M008-RECRegular",MoWe 11:40AM - 12:35PM,Sims Hall 129,M. Hanrahan,01/13/2025 - 04/28/2025,N/A
CRS 225,"M010-SEC Regular",TuTh 9:30AM - 10:50AM,Sims Hall 129,A. Rodriguez,01/14/2025 - 04/24/2025,N/A
CRS 287,"M001-SEC Regular",TuTh 12:30PM - 1:25PM,Maxwell Hall Aud,S. Sierra,01/14/2025 - 04/24/2025,N/A
CRS 287,"M004-RECRegular",Mo 8:25AM - 9:20AM,Sims Hall 135,A. Tapia Cera,01/13/2025 - 04/28/2025,N/A
CRS 287,"M005-RECRegular",We 8:25AM - 9:20AM,Sims Hall 129,F. Asifat,01/15/2025 - 04/23/2025,N/A
CRS 287,"M007-RECRegular",We 8:25AM - 9:20AM,Sims Hall 135,A. Tapia Cera,01/15/2025 - 04/23/2025,N/A
CRS 313,"M001-SEC Regular",We 5:15PM - 8:00PM,Sims Hall 123,A. Jakowenko,01/15/2025 - 04/23/2025,N/A
CRS 316,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Sims Hall 129,R. Hall,01/14/2025 - 04/24/2025,N/A
CRS 325,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Sims Hall 135,J. Dunagan,01/13/2025 - 04/28/2025,N/A
CRS 325,"M009-SEC Regular",TuTh 8:00AM - 9:20AM,Sims Hall 129,C. Madsen,01/14/2025 - 04/24/2025,N/A
CRS 325,"M011-SEC Regular",Mo 5:15PM - 8:00PM,Sims Hall 129,J. Bullinger,01/13/2025 - 04/28/2025,N/A
CRS 325,"U001-SEC Regular",We 5:15PM - 8:00PM,Sims Hall 129,J. Bullinger,01/15/2025 - 04/23/2025,N/A
CRS 328,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Sims Hall 129,A. Rodriguez,01/14/2025 - 04/24/2025,N/A
CRS 331,"M001-SEC Regular",Mo 5:15PM - 8:00PM,Sims Hall 135,J. Giovanini,01/13/2025 - 04/28/2025,N/A
CRS 333,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Sims Hall 131,J. Dunagan,01/13/2025 - 04/28/2025,N/A
CRS 333,"M002-SEC Regular",We 5:15PM - 8:00PM,Sims Hall 135,J. Dunagan,01/15/2025 - 04/23/2025,N/A
CRS 333,"M003-SEC Regular",Tu 5:15PM - 8:00PM,Sims Hall 123,A. Jakowenko,01/14/2025 - 04/22/2025,N/A
CRS 333,"M004-SEC Regular",MoWe 12:45PM - 2:05PM,Sims Hall 129,J. Dunagan,01/13/2025 - 04/28/2025,N/A
CRS 360,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Sims Hall 123,R. Dubrofsky,01/13/2025 - 04/28/2025,N/A
CRS 360,"M002-SEC Regular",MoWe 2:15PM - 3:35PM,Sims Hall 129,A. Gratch,01/13/2025 - 04/28/2025,N/A
CRS 360,"M007-SEC Regular",TuTh 12:30PM - 1:50PM,Sims Hall 135,H. Tabrizi,01/14/2025 - 04/24/2025,N/A
CRS 360,"M008-SEC Regular",TuTh 11:00AM - 12:20PM,Sims Hall 129,A. Rodriguez,01/14/2025 - 04/24/2025,N/A
CRS 360,"M009-SEC Regular",TuTh 2:00PM - 3:20PM,Sims Hall 131,H. Tabrizi,01/14/2025 - 04/24/2025,N/A
CRS 360,"M014-SEC Regular",Tu 1:00PM - 4:00PM,LOS ANGELES CAMPUS,R. Carpenter,01/14/2025 - 04/22/2025,N/A
CRS 375,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Sims Hall 129,C. Morris III,01/13/2025 - 04/28/2025,N/A
CRS 415,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Sims Hall 123,L. Gratch,01/14/2025 - 04/24/2025,N/A
CRS 425,"M001-SEC Regular",We 5:15PM - 8:00PM,Sims Hall 131,J. Giovanini,01/15/2025 - 04/23/2025,N/A
CRS 435,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Sims Hall 135,A. Jakowenko,01/14/2025 - 04/24/2025,N/A
CRS 435,"U001-SEC Regular",TBA,ONLINE ASYNCHRONOUS,C. Perrello,01/13/2025 - 04/28/2025,N/A
CRS 435,"U801-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,C. Perrello,12/18/2024 - 01/10/2025,N/A
CRS 447,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Sims Hall 123,D. Grimes,01/14/2025 - 04/24/2025,N/A
CRS 475,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Sims Hall 123,C. Morris III,01/13/2025 - 04/28/2025,N/A
CRS 600,"M001-SEC Regular",Th 5:00PM - 7:45PM,Sims Hall 123,K. Phillips,01/16/2025 - 04/24/2025,N/A
CRS 600,"M002-SEC Regular",TuTh 12:30PM - 1:50PM,Sims Hall 129,R. Hall,01/14/2025 - 04/24/2025,N/A
CRS 601,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Sims Hall 131,S. Sierra,01/14/2025 - 04/24/2025,N/A
CRS 996,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
CRS 997,"M001-SEC Regular",TBA,TBA,E. Rand,01/13/2025 - 04/28/2025,N/A
ECS 104,"M011-LAB Regular",We 9:40AM - 11:30AM,Link Hall 274,C. Smith,01/15/2025 - 04/23/2025,N/A
ECS 104,"M016-SEC Regular",MoWe 11:40AM - 12:35PM,Carnegie 122,X. Liu,01/13/2025 - 04/28/2025,N/A
ECS 114,"M001-SEC Regular",TuTh 12:30PM - 1:25PM,Link Hall room 166,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 114,"M002-SEC Regular",TuTh 2:00PM - 2:55PM,Link Hall room 166,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 115,"M001-SEC Regular",TuTh 12:30PM - 1:25PM,Link Hall room 167,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 115,"M011-SEC Regular",MoWe 6:00PM - 6:55PM,Link Hall 154,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 115,"M020-SEC Regular",MoWe 11:40AM - 12:35PM,Link Hall room 167,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 115,"M022-SEC Regular",MoWe 3:45PM - 4:40PM,SCITC 4-206K,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 115,"M023-SEC Regular",TuTh 11:00AM - 11:55AM,Centr for Science and Tech 2-2,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 115,"M024-SEC Regular",TuTh 12:30PM - 1:25PM,Centr for Science and Tech 2-2,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 115,"M026-SEC Regular",MoWe 4:00PM - 4:55PM,Link Hall 246,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 115,"M027-SEC Regular",TuTh 3:30PM - 4:25PM,Centr for Science and Tech 2-2,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 115,"M028-SEC Regular",MoWe 2:15PM - 3:10PM,Link Hall 168,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 115,"M029-SEC Regular",TuTh 5:00PM - 5:55PM,Link Hall room 166,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 115,"M031-SEC Regular",TuTh 5:15PM - 6:35PM,scitc2-120,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 116,"M002-SEC Regular",MoWe 2:15PM - 3:10PM,Link Hall room 166,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 116,"M003-SEC Regular",Mo 12:45PM - 2:35PM,Centr for Science and Tech 2-2,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 116,"M005-SEC Regular",We 3:45PM - 5:35PM,Link Hall 168,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 116,"M007-SEC Regular",Mo 3:45PM - 5:35PM,Link Hall 168,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 116,"M013-SEC Regular",Mo 1:50PM - 3:40PM,Link Hall 154,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 116,"M014-SEC Regular",Fr 10:35AM - 12:25PM,Link Hall 154,K. Pynn,01/17/2025 - 04/25/2025,N/A
ECS 116,"M020-SEC Regular",WeFr 12:45PM - 1:40PM,Link Hall room 166,K. Pynn,01/15/2025 - 04/25/2025,N/A
ECS 116,"M021-SEC Regular",WeFr 2:15PM - 3:10PM,Link Hall 058,K. Pynn,01/13/2025 - 04/25/2025,N/A
ECS 117,"M002-SEC Regular",We 4:00PM - 5:50PM,Link Hall room 166,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 117,"M003-SEC Regular",Tu 3:30PM - 5:20PM,Link Hall 168,K. Pynn,01/14/2025 - 04/22/2025,N/A
ECS 117,"M006-SEC Regular",We 3:45PM - 5:35PM,Link Hall 154,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 117,"M008-SEC Regular",Th 5:00PM - 6:50PM,Link Hall 154,K. Pynn,01/16/2025 - 04/24/2025,N/A
ECS 200,"M001-SEC Regular",We 3:45PM - 5:35PM,Link Hall 274,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 200,"M014-SEC Regular",We 5:15PM - 7:05PM,Link Hall 202,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 200,"M021-SEC Regular",MoWe 12:45PM - 1:40PM,Link Hall 168,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 200,"M023-SEC Regular",TuTh 11:00AM - 11:55AM,Link Hall room 167,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 200,"M028-SEC Regular",TuTh 6:00PM - 6:55PM,Link Hall 168,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 200,"M030-SEC Regular",Mo 3:45PM - 5:35PM,Link Hall room 167,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 200,"M031-SEC Regular",Fr 9:30AM - 11:20AM,Link Hall room 167,K. Pynn,01/17/2025 - 04/25/2025,N/A
ECS 200,"M041-SEC Regular",Mo 3:45PM - 5:35PM,Centr for Science and Tech 2-2,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 201,"M002-SEC Regular",Mo 3:45PM - 5:35PM,Link Hall 154,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 201,"M003-SEC Regular",We 12:45PM - 2:35PM,Centr for Science and Tech 2-2,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 202,"M002-SEC Regular",MoWe 5:15PM - 6:10PM,Link Hall 246,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 202,"M003-SEC Regular",TuTh 11:00AM - 11:55AM,Link Hall 154,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 202,"M011-SEC Regular",Tu 5:00PM - 6:50PM,Link Hall 154,K. Pynn,01/14/2025 - 04/22/2025,N/A
ECS 202,"M013-SEC Regular",We 9:30AM - 11:20AM,Link Hall room 166,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 202,"M020-SEC Regular",We 9:30AM - 11:20AM,Link Hall room 167,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 202,"M021-SEC Regular",Tu 5:00PM - 6:50PM,Link Hall room 167,K. Pynn,01/14/2025 - 04/22/2025,N/A
ECS 205,"M005-SEC Regular",We 3:45PM - 5:35PM,Link Hall room 167,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 205,"M010-SEC Regular",We 3:45PM - 5:35PM,Centr for Science and Tech 2-2,K. Pynn,01/15/2025 - 04/23/2025,N/A
ECS 207,"M001-SEC Regular",TuTh 2:00PM - 2:55PM,Link Hall 154,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 207,"M002-SEC Regular",TuTh 5:00PM - 5:55PM,Centr for Science and Tech 2-2,K. Pynn,01/14/2025 - 04/24/2025,N/A
ECS 221,"M001-SEC Regular",MoWeFr 9:30AM - 10:25AM,Link Hall room 160,E. Bogucz,01/13/2025 - 04/28/2025,N/A
ECS 221,"M003-RECRegular",Th 3:30PM - 4:25PM,Life Science Building 300,E. Bogucz,01/16/2025 - 04/24/2025,N/A
ECS 221,"M004-RECRegular",Th 5:00PM - 5:55PM,Sims Hall 241,E. Bogucz,01/16/2025 - 04/24/2025,N/A
ECS 221,"M005-RECRegular",We 11:40AM - 12:35PM,Sims Hall 237,E. Bogucz,01/15/2025 - 04/23/2025,N/A
ECS 222,"M001-SEC Regular",MoWeFr 9:30AM - 10:25AM,Shaffer Art Building 121,R. Tanchak,01/13/2025 - 04/28/2025,N/A
ECS 222,"M003-RECRegular",We 8:00AM - 8:55AM,Hall of Languages 105,K. Martinez Soto,01/15/2025 - 04/23/2025,N/A
ECS 222,"M006-RECRegular",Fr 10:35AM - 11:30AM,Link Hall 373,R. Tanchak,01/17/2025 - 04/25/2025,N/A
ECS 222,"M007-RECRegular",Fr 11:40AM - 12:35PM,Link Hall 373,R. Tanchak,01/17/2025 - 04/25/2025,N/A
ECS 222,"M008-SEC Regular",MoWe 12:45PM - 2:05PM,Life Science Building 011,K. Martinez Soto,01/13/2025 - 04/28/2025,N/A
ECS 222,"M009-RECRegular",Tu 5:00PM - 5:55PM,Link Hall 156,A. Shen,01/14/2025 - 04/22/2025,N/A
ECS 325,"M006-RECRegular",Mo 8:25AM - 9:20AM,Hall of Languages 105,T. Zhang,01/13/2025 - 04/28/2025,N/A
ECS 325,"M008-RECRegular",Tu 8:00AM - 8:55AM,Link Hall 246,A. Pandey,01/14/2025 - 04/22/2025,N/A
ECS 325,"M009-RECRegular",Fr 9:30AM - 10:25AM,Link Hall 200,T. Zhang,01/17/2025 - 04/25/2025,N/A
ECS 325,"M010-SEC Regular","MoWe 2:15PM - 3:35PM Fr 11:40AM - 12:35PM","Slocum Hall 214 School of Management 103","T. Zhang T. Zhang","01/13/2025 - 04/28/2025 01/17/2025 - 04/25/2025",N/A
ECS 370,"M001-SEC Regular",TBA,TBA,S. Mack,01/13/2025 - 04/28/2025,N/A
ECS 375,"M001-SEC Regular",Mo 9:30AM - 10:25AM,Link Hall 152,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 375,"M003-SEC Regular",Mo 11:40AM - 12:35PM,Link Hall room 160,K. Pynn,01/13/2025 - 04/28/2025,N/A
ECS 392,"M001-SEC Regular","Mo 12:45PM - 2:05PM We 12:45PM - 2:05PM","Sims Hall 241 Link Hall 152","J. Pierce J. Pierce","01/13/2025 - 04/28/2025 01/15/2025 - 04/23/2025",N/A
ECS 392,"M002-SEC Regular",TuTh 9:30AM - 10:50AM,Science & Tech Ctr 3-216,J. Pierce,01/14/2025 - 04/24/2025,N/A
ECS 526,"M800-SEC Regular","TBA Th 8:30PM - 10:00PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","C. Coutermarsh C. Coutermarsh","01/13/2025 - 04/28/2025 01/16/2025 - 04/24/2025",N/A
ECS 636,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Link Hall 152,B. Salman,01/14/2025 - 04/24/2025,N/A
ECS 650,"M001-SEC Regular",MoWe 6:45PM - 8:05PM,School of Management 101,P. Momtaz,01/13/2025 - 04/28/2025,N/A
ECS 759,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Steele Hall room 206,J. Golden,01/13/2025 - 04/28/2025,N/A
